Circumference (in),Degrees per Inch (360°/Circumference),radius,,,,,,Circumference (in),Degrees per Inch (360°/Circumference),radius,,,Degrees per Inch (360°/Circumference),25 in spacing,,Degrees per Inch (360°/Circumference),40 in spacing,,,Degrees per Inch (360°/Circumference),80 in spacing,,Degrees per Inch (360°/Circumference),40 in spacing,,,Stuff
5,57,0.890625,0.4453125,24,31,25.2109375,,40,25.003125,1000,1000.13,,-0.13,,,,,,,,,,,,,,
6,26,0.40625,0.203125,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,row spacing,,,,,,,,,,,,,,,,,,,
,,,,,,,,25,,,,,,,,,,,,,,,,,,,
For radius 1.956,40 in center,,,,,,,,,,,,,,,,,,,,,,,,,,
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,initial,average,desired final,actual final,,Error,,,,,,,,,,,,,,
1,54,0.84375,0.421875,40,3,40.0703125,,0,40.159375,200,200.796875,,-0.8,,,,,,,,,,,,,,
2,57,0.890625,0.4453125,40,9,40.2890625,,,,,,,,,,,,,,,,,,,,,
3,56,0.875,0.4375,40,5,40.15625,,Extrapolation,,,,,,,,,,,,,,,,,,,
4,56,0.875,0.4375,40,5,40.15625,,number rows,avg. value,desired final (in),actual final (in),,Error,,,,,,,,,,,,,,
5,56,0.875,0.4375,40,4,40.125,,40,40.125,1600,1605,,-5,,,,,,,,,,,,,,
6,56,0.875,0.4375,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,row spacing,,,,,,,,,,,,,,,,,,,
,,,,,,,,40,,,,,,,,,,,,,,,,,,,
For radius 1.962,40 in center,,,,,,,,,,,,,,,,,,,,,,,,,,
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,initial,average,desired final,actual final,,Error,,,,,,,,,,,,,,
1,56,0.875,0.4375,39,31,39.96875,,0,39.98567708,240,239.91,,0.09,,,,,,,,,,,,,,
2,56,0.875,0.4375,40,1,40.0390625,,,,,,,,,,,,,,,,,,,,,
3,55,0.859375,0.4296875,39,29,39.8984375,,Extrapolation,,,,,,,,,,,,,,,,,,,
4,56,0.875,0.4375,40,0,40,,number rows,avg. value,desired final (in),actual final (in),,Error,,,,,,,,,,,,,,
5,56,0.875,0.4375,40,0,40.0078125,,80,39.98567708,3200,3198.85,,1.15,,,,,,,,,,,,,,
6,55,0.859375,0.4296875,40,0,40,,,,,,,,,,,,,,,,,,,,,
7,55,0.859375,0.4296875,,,,,row spacing,,,,,,,,,,,,,,,,,,,
,,,,,,,,40,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
For radius 1.962,80 in center,,,,,,,,,,,,,,,,,,,,,,,,,,
row,value,hole_d,hole_r,s_v_in,s_v_sub_in,spacing,,initial,average,desired final,actual final,,Error,,,,,,,,,,,,,,
1,55,0.859375,0.4296875,80,15,80.46875,,0,80.45833333,240,241.38,,-1.38,,,,,,,,,,,,,,
2,55,0.859375,0.4296875,80,14,80.4375,,,,,,,,,,,,,,,,,,,,,
3,55,0.859375,0.4296875,80,15,80.46875,,Extrapolation,,,,,,,,,,,,,,,,,,,
4,55,0.859375,0.4296875,,,,,number rows,avg. value,desired final (in),actual final (in),,Error,,,,,,,,,,,,,,
,.,,,,,,,40,80.45833333,3200,3218.33,,-18.33,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,row spacing,,,,,,,,,,,,,,,,,,,
,,,,,,,,80,,,,,,,,,,,,,,,,,,,
